doi,first_author,middle_authors,last_author,corresponding_author,year,author_status,year_status
10.1214/15-AOS1350,Christian Brownlees,Emilien Joly,Gábor Lugosi,Christian Brownlees,2015.0,success,success
10.1214/15-AOS1351,Mélisande Albert,Yann Bouret; Magalie Fromont,Patricia Reynaud-Bouret,,2015.0,success,success
10.1214/15-AOS1352,Ching-Shui Cheng,,Ming-Hung Kao,Ching-Shui Cheng,2015.0,success,success
10.1214/15-AOS1353,Zhigang Bao,Liang-Ching Lin; Guangming Pan,Wang Zhou,,2015.0,success,success
10.1214/15-AOS1354,Chao Gao,Yu Lu,Harrison H. Zhou,Chao Gao,2015.0,success,success
10.1214/15-AOS1355,Vladimir Spokoiny,,Mayya Zhilova,,2015.0,success,success
10.1214/15-AOS1356,Degui Li,Yuan Ke,Wenyang Zhang,,2015.0,success,success
10.1214/15-AOS1359,John H. J. Einmahl,Jun Li,Regina Y. Liu,John H. J. Einmahl,2015.0,success,success
10.1214/15-AOS1365,Wei‐Liem Loh,,,Wei‐Liem Loh,2015.0,success,success
10.1214/15-AOS1330,Fei Jiang,Yanyuan Ma,Yuanjia Wang,Fei Jiang,2015.0,success,success
10.1214/15-AOS1328,Hock Peng Chan,,Guenther Walther,Hock Peng Chan,2015.0,success,success
10.1214/15-AOS1329,Yen-Chi Chen,Christopher R. Genovese,Larry Wasserman,Yen-Chi Chen,2015.0,success,success
10.1214/15-AOS1333,Holger Dette,Viatcheslav B. Melas,Roman Guchenko,,2015.0,success,success
10.1214/15-AOS1334,Ismael Castillo,Johannes Schmidt-Hieber,Aad van der Vaart,Ismael Castillo,2015.0,success,success
10.1214/15-AOS1335,Piet Groeneboom,,Geurt Jongbloed,,2015.0,success,success
10.1214/15-AOS1337,Rina Foygel Barber,,Emmanuel J. Candès,Rina Foygel Barber,2015.0,success,success
10.1214/15-AOS1342,,,,,,"error_HTTPSConnectionPool(host='api.openalex.org', port=443): Read timed out. (read timeout=10)","error_HTTPSConnectionPool(host='api.openalex.org', port=443): Read timed out. (read timeout=10)"
10.1214/15-AOS1344,Shujie Ma,Raymond J. Carroll; Hua Liang,Shizhong Xu,Shujie Ma,2015.0,success,success
10.1214/15-AOS1331,Ingo Steinwart,,,Ingo Steinwart,2015.0,success,success
10.1214/15-AOS1332,Chao Gao,Zongming Ma; Zhao Ren,Harrison H. Zhou,Chao Gao,2015.0,success,success
10.1214/15-AOS1339,Guillaume Sagnol,,Radoslav Harman,Radoslav Harman,2015.0,success,success
10.1214/15-AOS1340,Qi Zheng,Limin Peng,Xuming He,,2015.0,success,success
10.1214/15-AOS1341,Marc Hoffmann,Judith Rousseau,Johannes Schmidt-Hieber,Marc Hoffmann,2015.0,success,success
10.1214/15-AOS1346,Yingying Fan,Gareth James,Peter Radchenko,,2015.0,success,success
10.1214/15-AOS1326,Ci‐Ren Jiang,,Jane-Ling Wang,Ci‐Ren Jiang,2015.0,success,success
10.1214/14-AOS1307,Jianqing Fan,Zheng Tracy Ke; Han Liu,Lucy Xia,Jianqing Fan,2015.0,success,success
10.1214/14-AOS1270,Botond Szabó,Aad van der Vaart,J. H. van Zanten,,2015.0,success,success
10.1214/14-AOS1270A,Richard Nickl,,,Richard Nickl,2015.0,success,success
10.1214/15-AOS1270B,Ismaël Castillo,,,Ismaël Castillo,2015.0,success,success
10.1214/15-AOS1270C,Judith Rousseau,,,Judith Rousseau,2015.0,success,success
10.1214/15-AOS1270D,Mark G. Low,,Zongming Ma,Mark G. Low,2015.0,success,success
10.1214/15-AOS1270E,Subhashis Ghosal,,,Subhashis Ghosal,2015.0,success,success
10.1214/15-AOS1270REJ,Botond Szabó,Aad van der Vaart,J. H. van Zanten,,2015.0,success,success
10.1214/14-AOS1303,Qing Mai,,Hui Zou,,2015.0,success,success
10.1214/15-AOS1315,Sumanta Basu,,George Michailidis,Sumanta Basu,2015.0,success,success
10.1214/15-AOS1317,Kang Li,Wei Zheng,Mingyao Ai,,2015.0,success,success
10.1214/15-AOS1318,Michael Chichignoud,,Sébastien Loustau,Michael Chichignoud,2015.0,success,success
10.1214/15-AOS1319,Simon Byrne,,A. P. Dawid,Simon Byrne,2015.0,success,success
10.1214/15-AOS1320,Jia Chen,Degui Li; Hua Liang,Suojin Wang,,2015.0,success,success
10.1214/15-AOS1321,Erwan Scornet,Gérard Biau,Jean‐Philippe Vert,,2015.0,success,success
10.1214/15-AOS1322,Zuofeng Shang,,Guang Cheng,,2015.0,success,success
10.1214/15-AOS1324,Sabyasachi Chatterjee,Adityanand Guntuboyina,Bodhisattva Sen,,2015.0,success,success
10.1214/17-AOS1588,Jianqing Fan,Han Liu,Weichen Wang,,2018.0,success,success
10.1214/17-AOS1589,Piet Groeneboom,,Kim Hendrickx,,2018.0,success,success
10.1214/17-AOS1591,Arnaud Gloter,Dasha Loukianova,,,2018.0,success,success
10.1214/17-AOS1592,Vu Dinh,Lam Si Tung Ho; Marc A. Suchard,F. A. Matsen,,2018.0,success,success
10.1214/17-AOS1593,Ela Sienkiewicz,,Haonan Wang,,2018.0,success,success
10.1214/17-AOS1595,Yudong Chen,Xiaodong Li,Jiaming Xu,Yudong Chen,2018.0,success,success
10.1214/17-AOS1597,Hani Doss,,Yeonhee Park,,2018.0,success,success
10.1214/17-AOS1598,Bradley Efron,,,Bradley Efron,2018.0,success,success
10.1214/17-AOS1599,Lawrence D. Brown,Gourab Mukherjee,Asaf Weinstein,,2018.0,success,success
10.1214/17-AOS1600,Masayo Y. Hirose,,Partha Lahiri,,2018.0,success,success
10.1214/17-AOS1601,,,,,,not_found,not_found
10.1214/17-AOS1603,Ming-Chung Chang,,Ching‐Shui Cheng,,2018.0,success,success
10.1214/17-AOS1604,Tommaso Cai,,Zijian Guo,,2018.0,success,success
10.1214/17-AOS1587,Heather Battey,Jianqing Fan; Han Liu; Junwei Lu,Ziwei Zhu,,2018.0,success,success
10.1214/17-AOS1570,Chengchun Shi,Ailin Fan; Rui Song,Wenbin Lu,,2018.0,success,success
10.1214/17-AOS1573,Hengjian Cui,Wenwen Guo,Wei Zhong,,2018.0,success,success
10.1214/17-AOS1575,Jianqing Fan,Qi-Man Shao,Wen‐Xin Zhou,,2018.0,success,success
10.1214/17-AOS1576,Tommaso Cai,Adityanand Guntuboyina,Yuting Wei,,2018.0,success,success
10.1214/17-AOS1577,Zhidong Bai,Kwok Pui Choi,Yasunori Fujikoshi,Yasunori Fujikoshi,2018.0,success,success
10.1214/17-AOS1578,Xinbing Kong,,,Xinbing Kong,2018.0,success,success
10.1214/17-AOS1579,Wenliang Pan,Yuan Tian; Xueqin Wang,Heping Zhang,,2018.0,success,success
10.1214/17-AOS1580,Karl Gregory,Soumendra N. Lahiri,Daniel J. Nordman,,2018.0,success,success
10.1214/17-AOS1581,Juan Carlos Escanciano,Juan Carlos Pardo–Fernández,Ingrid Van Keilegom,Ingrid Van Keilegom,2018.0,success,success
10.1214/17-AOS1582,Weichi Wu,,Zhou Zhou,,2018.0,success,success
10.1214/17-AOS1583,Fuqing Gao,Jie Xiong,Xingqiu Zhao,,2018.0,success,success
10.1214/17-AOS1584,Ryan J. Tibshirani,Alessandro Rinaldo; Robert Tibshirani,Larry Wasserman,,2018.0,success,success
10.1214/17-AOS1585,Rajarshi Mukherjee,Sumit Mukherjee,Subhabrata Sen,Rajarshi Mukherjee,2018.0,success,success
10.1214/17-AOS1586,Karim Lounici,Katia Méziani,Gabriel Peyré,,2018.0,success,success
10.1214/17-AOS1568,Jianqing Fan,Han Liu; Qiang Sun,Tong Zhang,,2018.0,success,success
10.1214/17-AOS1555,Yuanzhen He,Ching‐Shui Cheng,Boxin Tang,Boxin Tang,2018.0,success,success
10.1214/17-AOS1556,,,,,,not_found,not_found
10.1214/17-AOS1558,Ningning Xia,,Xinghua Zheng,,2018.0,success,success
10.1214/17-AOS1559,,,,,,not_found,not_found
10.1214/17-AOS1560,Carlos Velasco,,Ignacio N. Lobato,,2018.0,success,success
10.1214/17-AOS1561,Qian Lin,Zhigen Zhao,Jun S. Liu,,2018.0,success,success
10.1214/17-AOS1562,Guillaume Lecué,,Shahar Mendelson,,2018.0,success,success
10.1214/17-AOS1563,Xiaohong Chen,,,Xiaohong Chen,2018.0,success,success
10.1214/17-AOS1564,Xiaoying Tian,,Jonathan Taylor,Jonathan Taylor,2018.0,success,success
10.1214/17-AOS1565,,,,,,not_found,not_found
10.1214/17-AOS1566,Pierre Bellec,,,Pierre Bellec,2018.0,success,success
10.1214/17-AOS1567,Shaogao Lv,Huazhen Lin; Heng Lian,Jian Huang,,2018.0,success,success
10.1214/17-AOS1569,Emilie Kaufmann,,,Emilie Kaufmann,2018.0,success,success
10.1214/17-AOS1571,Xi Chen,,Weidong Liu,,2018.0,success,success
10.1214/17-AOS1574,Yumou Qiu,Song Xi Chen,Dan Nettleton,,2018.0,success,success
10.1214/16-AOS1532,Xiaoou Li,Jingchen Liu,Zhiliang Ying,,2018.0,success,success
10.1214/17-AOS1540,Pierre C Bellec,,,Pierre C Bellec,2018.0,success,success
10.1214/17-AOS1541,Tommaso Cai,,Anru R. Zhang,,2018.0,success,success
10.1214/17-AOS1543,Caroline Uhler,Alex Lenkoski,Donald Richards,,2018.0,success,success
10.1214/17-AOS1544,Ali Mousavi,Arian Maleki,Richard G. Baraniuk,Ali Mousavi,2018.0,success,success
10.1214/17-AOS1545,,,,,,not_found,not_found
10.1214/17-AOS1547,Tuo Zhao,Han Liu,Tong Zhang,,2018.0,success,success
10.1214/17-AOS1548,Xianyang Zhang,Shun Yao,Xiaofeng Shao,,2018.0,success,success
10.1214/17-AOS1549,,,,,,not_found,not_found
10.1214/17-AOS1550,,,,,,not_found,not_found
10.1214/17-AOS1551,Qi Zheng,Limin Peng,Xuming He,,2018.0,success,success
10.1214/17-AOS1552,Myung Hwan Seo,,Taisuke Otsu,,2018.0,success,success
10.1214/17-AOS1553,Zhenhua Lin,Hans‐Georg Müller,Fang Yao,,2018.0,success,success
10.1214/17-AOS1554,Veronika Ročková,,,Veronika Ročková,2018.0,success,success
10.1214/16-AOS1534,Antoine Chambaz,Wenjing Zheng,Mark van der Laan,,2017.0,success,success
10.1214/16-AOS1535,Chuan-Fa Tang,Dewei Wang,Joshua M. Tebbs,,2017.0,success,success
10.1214/16-AOS1483,Yang Ning,Tianqi Zhao,Han Liu,,2017.0,success,success
10.1214/16-AOS1505,,,,,,not_found,not_found
10.1214/16-AOS1524,Shuyang Bai,,Murad S. Taqqu,,2017.0,success,success
10.1214/16-AOS1527,Abhirup Datta,,Hui Zou,,2017.0,success,success
10.1214/16-AOS1529,Ali Mousavi,Arian Maleki,Richard G. Baraniuk,Ali Mousavi,2017.0,success,success
10.1214/16-AOS1530,Po‐Ling Loh,,Martin J. Wainwright,,2017.0,success,success
10.1214/16-AOS1531,Yuan-Lung Lin,Frederick Kin Hing Phoa,Ming‐Hung Kao,,2017.0,success,success
10.1214/16-AOS1533,Kolyan Ray,,,Kolyan Ray,2017.0,success,success
10.1214/16-AOS1536,Yunjin Choi,Jonathan Taylor,Robert Tibshirani,,2017.0,success,success
10.1214/16-AOS1537,Panayiota Constantinou,,A. P. Dawid,Panayiota Constantinou,2017.0,success,success
10.1214/17-AOS1538,Tomohiro Ando,,Ker-chau Li,Ker-chau Li,2017.0,success,success
10.1214/17-AOS1539,Weidong Liu,,,Weidong Liu,2017.0,success,success
10.1214/17-AOS1542,Dragi Anevski,Richard D. Gill,Stefan Zohren,,2017.0,success,success
10.1214/17-AOS1546,,,,,,not_found,not_found
10.1214/16-AOS1511,Jingshu Wang,Qingyuan Zhao; Trevor Hastie,Art B. Owen,,2017.0,success,success
10.1214/16-AOS1512,Danna Zhang,,Wei Biao Wu,Wei Biao Wu,2017.0,success,success
10.1214/16-AOS1513,,,,,,not_found,not_found
10.1214/16-AOS1515,James M. Robins,Lingling Li; Rajarshi Mukherjee; Eric Tchetgen Tchetgen,Aad van der Vaart,,2017.0,success,success
10.1214/16-AOS1516,Morten Overgaard,Erik Thorlund Parner,Jan Skov Pedersen,,2017.0,success,success
10.1214/16-AOS1517,Lancelot F. James,,,Lancelot F. James,2017.0,success,success
10.1214/16-AOS1518,Asya Metelkina,,Luc Pronzato,,2017.0,success,success
10.1214/16-AOS1519,Chao Gao,Zongming Ma,Harrison H. Zhou,,2017.0,success,success
10.1214/16-AOS1520,,,,,,not_found,not_found
