doi,first_author,middle_authors,last_author,corresponding_author,status
10.1080/01621459.2012.682533,José R. Zubizarreta,Mark D. Neuman; Jeffrey H. Silber,Paul R. Rosenbaum,,success
10.1080/01621459.2012.682530,Qirong Ho,Ankur P. Parikh,Eric P. Xing,,success
10.1080/01621459.2012.682544,Chiung‐Yu Huang,,Jing Qin,,success
10.1080/01621459.2012.682828,Brent Kreider,John V. Pepper; Craig Gundersen,Dean Jolliffe,,success
10.1080/01621459.2012.682804,María José García‐Zattera,Alejandro Jara; Emmanuel Lesaffre,Guillermo Marshall,,success
10.1080/01621459.2012.694717,Hai Nguyen,Noel Cressie,Amy Braverman,,success
10.1080/01621459.2012.720478,Jianqing Fan,Xu Han,Weijie Gu,,success
10.1080/01621459.2012.712876,Armin Schwartzman,,,Armin Schwartzman,success
10.1080/01621459.2012.713878,Jiashun Jin,,,Jiashun Jin,success
10.1080/01621459.2012.720911,Jianqing Fan,Xu Han,Weijie Gu,,success
10.1080/01621459.2012.682811,Qin Zhou,Changliang Zou; Zhaojun Wang,Wei Jiang,,success
10.1080/01621459.2012.682850,Anastasios Panagiotelis,Claudia Czado,Harry Joe,,success
10.1080/01621459.2012.695664,Jens‐Peter Kreiß,,Efstathios Paparoditis,,success
10.1080/01621459.2012.695657,Victor M. Panaretos,,Kjell Konis,,success
10.1080/01621459.2012.695668,Jiahua Chen,Pengfei Li,Yuejiao Fu,,success
10.1080/01621459.2012.695674,Ying‐Qi Zhao,Donglin Zeng; A. John Rush,Michael R. Kosorok,,success
10.1080/01621459.2012.699795,Daniel L. Sussman,Minh Tang; Donniell E. Fishkind,Carey E. Priebe,,success
10.1080/01621459.2012.695654,Runze Li,Wei Zhong,Li Zhu,,success
10.1080/01621459.2012.695665,Holger Dette,,Matthias Trampisch,,success
10.1080/01621459.2012.699770,Sebastian Kurtek,Anuj Srivastava; Eric Klassen,Zhaohua Ding,,success
10.1080/01621459.2012.699793,Raymond J. Carroll,Aurore Delaigle,Peter Hall,,success
10.1080/01621459.2012.699792,Mike Danilov,Vı́ctor J. Yohai,Ruben H. Zamar,,success
10.1080/01621459.2012.706133,Chenlei Leng,,Cheng Yong Tang,,success
10.1080/01621459.2012.716337,Tommaso Cai,,Ming Yuan,,success
10.1080/01621459.2012.703877,Gabriel Chandler,,Wolfgang Polonik,,success
10.1080/01621459.2012.712419,Trent Gaugler,,Michael G. Akritas,,success
10.1080/01621459.2012.710509,Shurong Zheng,Ningzhong Shi,Zhengjun Zhang,,success
10.1080/01621459.2012.711261,,,,,success
10.1080/01621459.2011.643713,Lane F. Burgette,,Jerome P. Reiter,,success
10.1080/01621459.2011.643719,Paolo Frumento,Fabrizia Mealli; Barbara Pacini,Donald B. Rubin,,success
10.1080/01621459.2011.641402,Earvin S. Balderama,Frederic Paik Schoenberg; Erin Murray,Philip W. Rundel,,success
10.1080/01621459.2011.646917,Michael E. Sobel,,,Michael E. Sobel,success
10.1080/01621459.2012.682524,Thomas Barrios,Rebecca Diamond; Guido W. Imbens,Michal Kolesár,,success
10.1080/01621459.2012.682537,Alberto Abadie,,Guido W. Imbens,,success
10.1080/01621459.2011.641430,Giseon Heo,Jennifer Gamble,Peter T. Kim,,success
10.1080/01621459.2011.641416,Lu Wang,Andrea Rotnitzky; Xihong Lin; Randall E. Millikan,Peter F. Thall,,success
10.1080/01621459.2012.665198,Lu Wang,Andrea Rotnitzky; Xihong Lin; Randall E. Millikan,Peter F. Thall,,success
10.1080/01621459.2012.655954,Xi Luo,Dylan S. Small; Chiang‐Shan R. Li,Paul R. Rosenbaum,,success
10.1080/01621459.2017.1356314,Kun Chen,Neha Mishra; Joan A. Smyth; Haim Bar; Elizabeth D. Schifano; Lynn Kuo,Ming‐Hui Chen,,success
10.1080/01621459.2017.1311261,,,,,not_found
10.1080/01621459.2017.1328356,Peter Ganong,,Simon Jäger,,success
10.1080/01621459.2017.1341411,Zhigang Yao,Ye Zhang; Zhidong Bai,William F. Eddy,,success
10.1080/01621459.2017.1345742,Xi Chen,Kaoru Irie; David Banks; Robert Haslinger; Jewell Thomas,Mike West,,success
10.1080/01621459.2017.1356315,,,,,not_found
10.1080/01621459.2017.1356316,Haiming Zhou,,Timothy Hanson,Haiming Zhou,success
10.1080/01621459.2017.1361329,Liang Li,Chih-Hsien Wu; Jing Ning; Xuelin Huang; Ya‐Chen Tina Shih,Yu Shen,,success
10.1080/01621459.2017.1366907,Yuhang Xu,Yehua Li,Dan Nettleton,,success
10.1080/01621459.2016.1264956,Ning Hao,Yang Feng,Hao Helen Zhang,,success
10.1080/01621459.2016.1264957,,,,,not_found
10.1080/01621459.2016.1270214,,,,,not_found
10.1080/01621459.2016.1273115,,,,,not_found
10.1080/01621459.2016.1273116,,,,,not_found
10.1080/01621459.2016.1273117,Federico Bassetti,Roberto Casarin,Francesco Ravazzolo,Francesco Ravazzolo,success
10.1080/01621459.2016.1278174,,,,,not_found
10.1080/01621459.2017.1280406,Asaf Weinstein,Zhuang Ma; Lawrence D. Brown,Cun‐Hui Zhang,,success
10.1080/01621459.2017.1281813,Holger Dette,Kathrin Möllenhoff; Stanislav Volgushev,Frank Bretz,,success
10.1080/01621459.2017.1282372,,,,,not_found
10.1080/01621459.2017.1285774,,,,,not_found
10.1080/01621459.2017.1285775,Forrest W. Crawford,Jiacheng Wu,Robert Heimer,Forrest W. Crawford,success
10.1080/01621459.2017.1285776,Sebastián Calónico,Matias D. Cattaneo,Max H. Farrell,Max H. Farrell,success
10.1080/01621459.2017.1285777,,,,,not_found
10.1080/01621459.2017.1286240,Ery Arias-Castro,Rui M. Castro; Ervin Tánczos,Meng Wang,,success
10.1080/01621459.2017.1286241,Li Ma,,Jacopo Soriano,Li Ma,success
10.1080/01621459.2017.1287080,,,,,not_found
10.1080/01621459.2017.1292914,Haiying Wang,Rong Zhu,Ping Ma,Haiying Wang,success
10.1080/01621459.2017.1292915,,,,,not_found
10.1080/01621459.2017.1294075,,,,,not_found
10.1080/01621459.2017.1294076,Rahul Mukerjee,Tirthankar Dasgupta,Donald B. Rubin,,success
10.1080/01621459.2017.1295866,,,,,not_found
10.1080/01621459.2017.1299626,Kin Yau Wong,Donglin Zeng,D. Y. Lin,,success
10.1080/01621459.2017.1301258,Ori Davidov,Casey Jelsema,Shyamal D. Peddada,,success
10.1080/01621459.2017.1302339,Chen Jia,Degui Li; Oliver Linton,Zudi Lu,,success
10.1080/01621459.2018.1434530,Sonja A. Swanson,Miguel A. Hernán; Matthew Q. Miller; James M. Robins,Thomas S. Richardson,,success
10.1080/01621459.2016.1260467,Abhra Sarkar,Debdeep Pati; Antik Chakraborty; Bani K. Mallick,Raymond J. Carroll,,success
10.1080/01621459.2017.1303386,Yuanjia Wang,Haoda Fu,Donglin Zeng,,success
10.1080/01621459.2017.1323641,Guillaume Basse,,Avi Feller,Avi Feller,success
10.1080/01621459.2017.1395339,Joseph Guinness,,Dorit Hammerling,Joseph Guinness,success
10.1080/01621459.2017.1328357,Maria DeYoreo,,Athanasios Kottas,,success
10.1080/01621459.2017.1328358,Siamak Zamani Dadaneh,Xiaoning Qian,Mingyuan Zhou,Xiaoning Qian,success
10.1080/01621459.2017.1330202,Meredith L. Wallace,Daniel J. Buysse; Anne Germain; Martica H. Hall,Satish Iyengar,,success
10.1080/01621459.2017.1330692,Peng Shi,,Lu Yang,,success
10.1080/01621459.2017.1379404,Ryan Warnick,Michele Guindani; Erik B. Erhardt; Elena A. Allen; Vince D. Calhoun,Marina Vannucci,Marina Vannucci,success
10.1080/01621459.2017.1419136,Noel Cressie,,,Noel Cressie,success
10.1080/01621459.2017.1419137,Marc G. Genton,,Jaehong Jeong,,success
10.1080/01621459.2017.1389735,,,,,not_found
10.1080/01621459.2018.1442610,Aaron Roth,,,Aaron Roth,success
10.1080/01621459.2018.1442611,John C. Duchi,Michael I. Jordan,Martin J. Wainwright,John C. Duchi,success
10.1080/01621459.2016.1240083,Chung Eun Lee,,Xiaofeng Shao,,success
10.1080/01621459.2016.1241178,Susan Athey,Dean Eckles,Guido W. Imbens,,success
10.1080/01621459.2016.1246365,,,,,not_found
10.1080/01621459.2016.1246366,Fang Han,,Han Liu,,success
10.1080/01621459.2016.1246367,,,,,not_found
10.1080/01621459.2016.1246368,Stephen Reid,Jonathan Taylor,Robert Tibshirani,Stephen Reid,success
10.1080/01621459.2016.1246369,Ling Ma,,Rajeshwari Sundaram,Rajeshwari Sundaram,success
10.1080/01621459.2016.1247002,Emilie Devijver,,Mélina Gallopin,,success
10.1080/01621459.2016.1251440,Zhao Chen,Jianqing Fan,Runze Li,Runze Li,success
10.1080/01621459.2016.1251930,Xia Yin,Tianxi Cai,Tommaso Cai,Xia Yin,success
10.1080/01621459.2016.1255636,Jeffrey W. Miller,,Matthew Tom Harrison,,success
10.1080/01621459.2016.1255637,Shengchun Kong,Bin Nan; John D. Kalbfleisch; Rajiv Saran,Richard A. Hirth,,success
10.1080/01621459.2016.1256814,Baoluo Sun,,Eric J. Tchetgen Tchetgen,,success
10.1080/01621459.2016.1256815,Quefeng Li,Guang Cheng; Jianqing Fan,Yuyan Wang,,success
10.1080/01621459.2016.1260466,Fan Li,Kari Lock Morgan,Alan M. Zaslavsky,Fan Li,success
10.1080/01621459.2016.1260468,Rajesh Ranganath,,David M. Blei,,success
10.1080/01621459.2016.1260469,Veronika Ročková,,Edward I. George,,success
10.1080/01621459.2016.1260470,Yiyuan She,Zhifeng Wang,He Jiang,,success
10.1080/01621459.2016.1261711,Marco Battiston,Stefano Favaro,Yee Whye Teh,,success
10.1080/01621459.2016.1261712,Pavel Krupskii,Raphaël Huser,Marc G. Genton,,success
10.1080/01621459.2017.1395340,,,,,success
10.1080/01621459.2018.1460558,,,,,success
10.1080/01621459.2016.1180988,,,,,not_found
10.1080/01621459.2016.1149070,Yijian Huang,,,Yijian Huang,success
10.1080/01621459.2016.1165103,David B. Dahl,Ryan Day,Jerry Tsai,,success
10.1080/01621459.2016.1173557,,,,,not_found
10.1080/01621459.2016.1240684,Dalia Chakrabarty,,,Dalia Chakrabarty,success
10.1080/01621459.2016.1166114,Xianyang Zhang,,Guang Cheng,,success
10.1080/01621459.2016.1180989,,,,,not_found
10.1080/01621459.2017.1285773,David M. Blei,Alp Kucukelbir,Jon D. McAuliffe,David M. Blei,success
10.1080/01621459.2016.1164053,Ruiyan Luo,,Xin Qi,,success
10.1080/01621459.2016.1224713,Giampiero Marra,Rosalba Radice; Till Bärnighausen; Simon N. Wood,Mark E. McGovern,,success
10.1080/01621459.2016.1224714,Ephraim M. Hanks,,,Ephraim M. Hanks,success
10.1080/01621459.2016.1228534,,,,,not_found
10.1080/01621459.2016.1236726,,,,,not_found
10.1080/01621459.2016.1240683,José R. Zubizarreta,,Luke Keele,,success
10.1198/jasa.2010.ap09581,Yang Yang,M. Elizabeth Halloran; Michael J. Daniels; Ira M. Longini; Donald S. Burke,Derek A. T. Cummings,,success
10.1198/jasa.2010.ap09185,Fan Li,,Alan M. Zaslavsky,,success
10.1198/jasa.2010.ap09250,Veerabhadran Baladandayuthapani,Yuan Ji; Rajesh Talluri; Luis E. Nieto‐Barajas,Jeffrey S. Morris,,success
10.1198/jasa.2010.ap09039,Ying Chen,Wolfgang Karl Härdle,Uta Pigorsch,,success
10.1198/jasa.2010.ap09323,Peter J. Diggle,Yongtao Guan; Anthony C. Hart; Fauzia Paize,Michelle C. Stanton,,success
10.1198/jasa.2010.ap09655,Matthew A. Taddy,,,Matthew A. Taddy,success
10.1198/jasa.2010.tm10570,Ross L. Prentice,,,Ross L. Prentice,success
10.1198/jasa.2010.tm10195,Kun Liang,,Dan Nettleton,,success
10.1198/jasa.2010.tm09572,Michael S. Smith,Aleksey Min; Carlos Almeida,Claudia Czado,,success
10.1198/jasa.2010.tm09534,J. N. K. Rao,,Changbao Wu,,success
10.1198/jasa.2010.tm10163,Yacine Aït‐Sahalia,Jianqing Fan,Dacheng Xiu,,success
10.1198/jasa.2010.tm09414,Xin Gao,,Peter X.‐K. Song,,success
10.1198/jasa.2010.tm10130,Peter Radchenko,,Gareth James,,success
10.1198/jasa.2010.tm09549,Sophie Dabo‐Niang,Christian Francq,Jean‐Michel Zakoïan,,success
10.1198/jasa.2010.tm10134,A. Hedayat,,Wei Zheng,,success
10.1198/jasa.2010.tm09123,Henghsiu Tsai,,Ruey S. Tsay,,success
10.1198/jasa.2010.tm09541,Chris Field,Zhen Pang,A. H. Welsh,,success
10.1198/jasa.2010.tm10555,Hua Liang,,Hulin Wu,,success
10.1198/jasa.2010.tm10574,Daniela Witten,,Robert Tibshirani,,success
10.1198/jasa.2010.ap09490,Mike Baiocchi,Dylan S. Small; Scott A. Lorch,Paul R. Rosenbaum,,success
10.1198/jasa.2010.ap09321,Claire Wang,Michael J. Daniels; Daniel O. Scharfstein,Stephanie R. Land,,success
10.1198/jasa.2010.ap09480,Jörg Drechsler,,Jerome P. Reiter,,success
10.1198/jasa.2010.tm09666,Li Zhu,Li Zhu,Zheng-Hui Feng,,success
10.1198/jasa.2010.tm09181,Zaïd Harchaoui,,Céline Lévy‐Leduc,,success
10.1198/jasa.2010.tm10128,Lan Xue,Annie Qu,Jianhui Zhou,,success
10.1198/jasa.2010.tm10068,John P. Morgan,,Xiaowei Wang,,success
10.1198/jasa.2010.tm09757,Subhash R. Lele,Khurram Nadeem,Byron Schmuland,,success
10.1198/jasa.2010.ap10507,Richard L. Smith,,,Richard L. Smith,success
10.1198/jasa.2010.ap08631,Hyokyoung G. Hong,,Xuming He,,success
10.1198/jasa.2010.ap08274,Li‐Shan Huang,,Philip W. Davidson,,success
10.1198/jasa.2010.ap09236,Ben Haaland,Wanli Min; Peter Z. G. Qian,Yasuo Amemiya,,success
10.1198/jasa.2010.tm10241,Tommaso Cai,,,Tommaso Cai,success
10.1198/jasa.2010.tm10240,Ruth Heller,,,Ruth Heller,success
10.1198/jasa.2010.tm10237,Armin Schwartzman,,,Armin Schwartzman,success
10.1198/jasa.2010.tm10239,Peter H. Westfall,,,Peter H. Westfall,success
10.1198/jasa.2010.tm10367,Bradley Efron,,,Bradley Efron,success
10.1198/jasa.2010.tm09590,Matias D. Cattaneo,Richard K. Crump,Michael Jansson,,success
10.1198/jasa.2010.tm09307,Kani Chen,Shaojun Guo; Yuanyuan Lin,Zhiliang Ying,,success
10.1198/jasa.2010.tm09794,Robertas Gabrys,Lajos Horváth,Piotr Kokoszka,,success
10.1198/jasa.2010.tm08463,Lu Wang,Andrea Rotnitzky,Xihong Lin,,success
10.1198/jasa.2010.tm09329,James X. Hu,Hongyu Zhao,Harrison H. Zhou,,success
10.1198/jasa.2010.tm09016,Phillip S. Kott,,Ted Chang,,success
10.1198/jasa.2010.ap09379,Bo Li,Douglas Nychka,Caspar Ammann,,success
10.1198/jasa.2010.ap08739,Keunbaik Lee,Michael J. Daniels,Daniel J. Sargent,,success
10.1198/jasa.2010.ap08327,Soma S. Dhavala,Sujay Datta; Bani K. Mallick; Raymond J. Carroll; Sangeeta Khare; Sara D. Lawhon,L. Garry Adams,,success
10.1198/jasa.2010.ap08713,Thaddeus Tarpey,Eva Petkova; Yimeng Lu,Usha Govindarajulu,,success
10.1198/jasa.2010.ap07636,Jonathan Stroud,Michael L. Stein; Barry M. Lesht; David J. Schwab,Dmitry Beletsky,,success
10.1198/jasa.2010.ap09260,Ruth Heller,Shane T. Jensen; Paul R. Rosenbaum,Dylan S. Small,,success
10.1198/jasa.2010.tm09129,Bradley Efron,,,Bradley Efron,success
10.1198/jasa.2010.tm09032,Pengfei Li,,Jiahua Chen,,success
10.1198/jasa.2010.tm09467,Anatoly Zhigljavsky,Holger Dette,Andrey Pepelyshev,,success
10.1198/jasa.2010.tm09160,,,,,not_found
10.1198/jasa.2010.tm09365,Peter Z. G. Qian,,Mingyao Al,,success
10.1198/jasa.2010.tm10083,X. Jessie Jeng,Tommaso Cai,Hongzhe Li,,success
10.1198/jasa.2010.tm09420,Tilmann Gneiting,William Kleiber,Martin Schlather,,success
10.1198/jasa.2010.tm09448,Michaël G. B. Blum,,,Michaël G. B. Blum,success
10.1198/jasa.2010.tm09643,Lexin Li,Bing Li,Li Zhu,,success
10.1198/jasa.2010.tm08177,Fan Li,,Nancy Zhang,,success
10.1198/jasa.2010.tm10103,Xiaofeng Shao,,Xianyang Zhang,,success
10.1198/jasa.2010.tm09754,Ann B. Lee,,Larry Wasserman,,success
10.1198/jasa.2010.tm09228,Damla Şentürk,,Hans‐Georg Müller,,success
10.1198/jasa.2009.ap07115,Arthur Spirling,,Kevin M. Quinn,,success
10.1198/jasa.2009.ap08497,Lu Ren,David B. Dunson; Scott Lindroth,Lawrence Carin,,success
10.1198/jasa.2009.ap08387,Heping Zhang,Yongmei Liu,Xueqin Wang,,success
10.1198/jasa.2009.ap08105,Duncan Κ. H. Fong,Wayne S. DeSarbo; Joonwook Park,Crystal J. Scott,,success
10.1198/jasa.2009.ap08746,Alberto Abadie,Alexis Diamond,Jens Hainmueller,,success
10.1198/jasa.2009.ap09068,Sudipto Banerjee,Andrew O. Finley; Patrik Waldmann,Tore Ericsson,,success
10.1198/jasa.2009.ap07184,Veronica J. Berrocal,Adrian E. Raftery; Tilmann Gneiting,Richard Steed,,success
10.1198/jasa.2010.ap07441,Sujit K. Ghosh,Prakash V. Bhave; Jeanine M. Davis,Hye–Young Lee,,success
10.1198/jasa.2009.ap08629,Scott H. Holan,Daniell Toth; Marco A. R. Ferreira,Alan F. Karr,,success
10.1198/jasa.2010.ap09114,Aiyi Liu,Qi-Zhai Li; Chunling Liu; Kai Yu,Kai Yu,,success
10.1198/jasa.2010.ap07291,Armin Schwartzman,Robert F. Dougherty,Jonathan Taylor,,success
10.1198/jasa.2010.tm09386,Chun Li,,Bryan E. Shepherd,,success
10.1198/jasa.2010.tm09313,Yehua Li,Naisyin Wang,Raymond J. Carroll,,success
10.1198/jasa.2010.tm09132,Jean‐Marc Freyermuth,Hernando Ombao,Rainer von Sachs,,success
10.1198/jasa.2010.tm08241,Abel Rodríguez,David B. Dunson,Alan E. Gelfand,,success
10.1198/jasa.2010.tm08127,Werner Brannath,,Frank Bretz,,success
10.1198/jasa.2010.tm09239,Victor M. Panaretos,David Kraus,John H. Maddocks,,success
10.1198/jasa.2010.tm09302,Wenbin Lu,,Hao Helen Zhang,,success
10.1198/jasa.2010.tm09570,Paul R. Rosenbaum,,,Paul R. Rosenbaum,success
10.1198/jasa.2010.tm08383,Davide La Vecchia,,Fabio Trojani,,success
10.1198/jasa.2010.tm09415,Daniela Witten,,Robert Tibshirani,,success
10.1198/jasa.2010.tm09380,Xiaotong Shen,,Hsin‐Cheng Huang,,success
10.1198/jasa.2010.tm08636,Kani Chen,Shaojun Guo; Liuquan Sun,Jane-Ling Wang,,success
10.1198/jasa.2010.tm09426,Sam Efromovich,,,Sam Efromovich,success
10.1198/jasa.2010.tm09340,Subharup Guha,,,Subharup Guha,success
10.1080/01621459.2013.854172,Donglin Zeng,,,Donglin Zeng,success
10.1080/01621459.2013.859516,Holger Dette,,,Holger Dette,success
10.1080/01621459.2013.855352,Xiaohong Chen,,,Xiaohong Chen,success
10.1080/01621459.2013.856717,Matias D. Cattaneo,Richard K. Crump,Michael Jansson,,success
10.1080/01621459.2013.824893,Aurore Delaigle,,Peter Hall,,success
10.1080/01621459.2013.788980,Yehua Li,Naisyin Wang,Raymond J. Carroll,,success
10.1080/01621459.2012.758587,Jingfei Zhang,,Yuguo Chen,,success
10.1080/01621459.2013.800763,Lisha Chen,Winston Wei Dou,Zhihua Qiao,,success
10.1080/01621459.2013.823866,Tsuyoshi Kunihama,,David B. Dunson,,success
10.1080/01621459.2013.829001,Nicholas G. Polson,James G. Scott,Jesse Windle,,success
10.1080/01621459.2013.831980,Wentao Li,Zhiqiang Tan,Rong Chen,,success
10.1080/01621459.2013.835661,Jian Zhang,,,Jian Zhang,success
10.1080/01621459.2013.835662,Sanat K. Sarkar,Jingjing Chen,Wenge Guo,,success
10.1080/01621459.2013.813389,Luo Lu,Hui Jiang,Wing Hung Wong,,success
10.1080/01621459.2013.806268,Min Yang,Stefanie Biedermann,Elina Tang,,success
10.1080/01621459.2013.827984,Ming−Yen Cheng,,Hau‐Tieng Wu,,success
10.1080/01621459.2013.835660,Shelby J. Haberman,,Sandip Sinharay,,success
10.1080/01621459.2013.838568,Bin Zhu,,David B. Dunson,,success
10.1080/01621459.2013.820660,Dylan S. Small,Jing Cheng; M. Elizabeth Halloran,Paul R. Rosenbaum,,success
10.1080/01621459.2013.836973,Ying Hung,Yijie Wang; Veronika I. Zarnitsyna; Cheng Zhu,Changbao Wu,,success
10.1080/01621459.2013.829002,Marina Bogomolov,,Ruth Heller,,success
10.1080/01621459.2013.838899,Li Ma,,,Li Ma,success
10.1080/01621459.2013.847374,Young Min Kim,Soumendra N. Lahiri,Daniel J. Nordman,,success
10.1080/01621459.2013.837368,Yuanshan Wu,,Guosheng Yin,,success
10.1080/01621459.2013.856715,Tianxi Cai,,Yingye Zheng,,success
10.1080/01621459.2012.734168,Matt Taddy,,,Matt Taddy,success
10.1080/01621459.2013.804409,Francesco C. Stingo,Michele Guindani; Marina Vannucci,Vince D. Calhoun,,success
10.1080/01621459.2013.808945,Jerry Cheng,Minge Xie; Rong Chen,Fred S. Roberts,,success
10.1080/01621459.2013.789695,Susan Wei,,Michael R. Kosorok,,success
10.1080/01621459.2013.784705,Ju‐Hee Lee,Peter Müller; Yitan Zhu,Yuan Ji,,success
10.1080/01621459.2013.786649,Peter B. Gilbert,Bryan E. Shepherd,Michael G. Hudgens,,success
10.1080/01621459.2013.795487,Brian J. Reich,Dipankar Bandyopadhyay,Howard D. Bondell,,success
10.1080/01621459.2013.802963,J Rougier,Michael Goldstein,Leanna House,,success
10.1080/01621459.2013.804408,Tao Yu,,Pengfei Li,,success
10.1080/01621459.2013.806927,Jin Zhang,,Thomas Braun,,success
10.1080/01621459.2013.787933,Yichen Qin,,Carey E. Priebe,,success
10.1080/01621459.2013.772897,Mian Huang,Runze Li,Shaoli Wang,,success
10.1080/01621459.2013.808949,Colin O. Wu,,Xin Tian,,success
10.1080/01621459.2013.778776,Xiaoke Zhang,Byeong U. Park,Jane-ling Wang,,success
10.1080/01621459.2013.779843,P. Richard Hahn,Carlos M. Carvalho,Sayan Mukherjee,,success
10.1080/01621459.2013.794730,Xiaolei Xun,Jiguo Cao; Bani K. Mallick; Arnab Maity,Raymond J. Carroll,,success
10.1080/01621459.2013.799920,Stéphane Guerrier,Jan Škaloud; Yannick Stebler,Maria‐Pia Victoria‐Feser,,success
10.1080/01621459.2013.801775,Cheryl J. Flynn,Clifford M. Hurvich; Jeffrey S. Simonoff; Cheryl J. Flynn; Clifford M. Hurvich,Jeffrey S. Simonoff,Cheryl J. Flynn,success
10.1080/01621459.2013.803972,Yingying Fan,Jinchi Lv; Yingying Fan,Jinchi Lv,Yingying Fan,success
10.1080/01621459.2013.820134,Huixia Wang,,Deyuan Li,,success
10.1080/01621459.2013.818002,Antonio F. Galvao,Carlos Lamarche,Luiz Renato Lima,,success
10.1080/01621459.2013.816184,Yanyuan Ma,Mi Jeong Kim,Marc G. Genton,,success
10.1080/01621459.2013.813390,Davy Paindaveine,,Germain Van Bever,,success
10.1080/01621459.2013.802238,Fabrizia Mealli,,Barbara Pacini,,success
10.1080/01621459.2013.796885,Ryan Martin,,Chuanhai Liu,,success
10.1080/01621459.2013.770688,Avishek Chakraborty,Bani K. Mallick; Ryan G. McClarren; Carolyn Kuranz; Derek Bingham; Michael Grosskopf; Erica M. Rutter; H.F. Stripling,R. P. Drake,,success
10.1080/01621459.2012.757231,Mauricio Sadinle,,Stephen E. Fienberg,,success
10.1080/01621459.2013.770694,Curtis B. Storlie,Sarah Michalak; Heather Quinn; Andrew DuBois; S.A. Wender,David Dubois,,success
10.1080/01621459.2013.779829,David A. Friedenberg,,Christopher R. Genovese,,success
10.1080/01621459.2013.787932,Roderick J. A. Little,,,Roderick J. A. Little,success
10.1080/01621459.2013.770307,Edward H. Ip,Qiang Zhang; W. Jack Rejeski; Tammy Harris,Stephen B. Kritchevsky,,success
10.1080/01621459.2013.795447,Mónica Costa Dias,Hidehiko Ichimura,Gérard J. van den Berg,,success
10.1080/01621459.2013.779832,Tyler J. VanderWeele,Guanglei Hong; Stephanie M. Jones,Joshua L. Brown,,success
10.1080/01621459.2013.770702,Sungduk Kim,Zhen Chen; Zhiwei Zhang; Bruce G. Simons‐Morton,Paul S. Albert,,success
10.1080/01621459.2013.779836,Zahra Siddique,,,Zahra Siddique,success
10.1080/01621459.2013.793118,Josue G. Martinez,Jeffrey S. Morris; Kirsten M. Bohn,Raymond J. Carroll,,success
10.1080/01621459.2013.770705,Lihui Zhao,Lü Tian; Tianxi Cai; Brian Claggett,Lee‐Jen Wei,,success
10.1080/01621459.2013.776499,Hua Zhou,Lexin Li,Hongtu Zhu,,success
10.1080/01621459.2013.775949,Yuanjia Wang,Huaihou Chen; Donglin Zeng; Christine Mauro; Naihua Duan,M. Katherine Shear,,success
10.1080/01621459.2013.793121,Arpita Ghosh,Fred A. Wright,Fei Zou,,success
10.1080/01621459.2012.760458,Ting Zhang,,,Ting Zhang,success
10.1080/01621459.2012.761942,Faming Liang,Qifan Song,Kai Yu,,success
10.1080/01621459.2013.771102,J. T. Gene Hwang,,Zhigen Zhao,,success
10.1080/01621459.2013.763726,Rong Liu,Lijian Yang,Wolfgang Karl Härdle,,success
10.1080/01621459.2013.766613,Xueqin Wang,Yunlu Jiang; Mian Huang,Heping Zhang,,success
10.1080/01621459.2013.779847,Howard D. Bondell,,Leonard A. Stefanski,,success
10.1080/01621459.2012.762328,Jared S. Murray,David B Dunson; Lawrence Carin; Joseph E. Lucas; Jared S. Murray; David B Dunson; Lawrence Carin,Joseph E. Lucas,Jared S. Murray,success
10.1080/01621459.2013.787083,Bo Li,,Marc G. Genton,,success
10.1080/01621459.2013.783842,Hohsuk Noh,Anouar El Ghouch,Taoufik Bouezmarni,,success
10.1080/01621459.2013.785952,Dong Hwan Oh,,Andrew J. Patton,,success
10.1080/01621459.2013.770707,Chunpeng Fan,,Jason P. Fine,,success
10.1080/01621459.2013.770704,Yunzhang Zhu,Xiaotong Shen,Wei Pan,,success
10.1080/01621459.2013.787184,Zhou Zhou,,,Zhou Zhou,success
10.1080/01621459.2013.771582,Lawrence D. Brown,Eitan Greenshtein,Ya’acov Ritov,,success
10.1080/01621459.2012.746058,Riten Mitra,Peter Müller; Shoudan Liang; Yue Lu,Yuan Ji,,success
10.1080/01621459.2012.724647,Ephraim M. Hanks,,Mevin B. Hooten,,success
10.1080/01621459.2012.726889,Roee Gutman,Christopher C. Afendulis,Alan M. Zaslavsky,,success
10.1080/01621459.2012.734158,Michael W. Robbins,Sujit K. Ghosh,Joshua Habiger,,success
10.1080/01621459.2012.756328,Edoardo M. Airoldi,,Alexander W. Blocker,,success
10.1080/01621459.2013.763566,Garritt L. Page,Abhishek Bhattacharya,David B. Dunson,,success
10.1080/01621459.2012.736903,Christoph Rothe,,Dominik Wied,,success
10.1080/01621459.2013.771010,Robert N. Rodriguez,,,Robert N. Rodriguez,success
10.1080/01621459.2016.1246250,Mevin B. Hooten,,Devin S. Johnson,,success
10.1080/01621459.2016.1148612,Mauricio Sadinle,,,Mauricio Sadinle,success
10.1080/01621459.2016.1150851,David S. Matteson,,Ruey S. Tsay,,success
10.1080/01621459.2016.1155993,Kristin A. Linn,Eric B. Laber,Leonard A. Stefanski,,success
10.1080/01621459.2016.1156545,Shujie Ma,Runze Li,Chih‐Ling Tsai,,success
10.1080/01621459.2016.1158113,Qingning Zhou,Tao Hu,Jianguo Sun,,success
10.1080/01621459.2016.1158717,Vikram Garg,,Roy H. Stogner,,success
