doi,first_author,middle_authors,last_author,corresponding_author,status
10.1214/15-AOS1404,Shujie Ma,,Xuming He,,success
10.1214/15-AOS1405,Wanli Qiao,,Wolfgang Polonik,,success
10.1214/15-AOS1415,Holger Drees,,Holger Rootzén,,success
10.1214/15-AOS1374,Jinyuan Chang,Cheng Yong Tang,Yichao Wu,Jinyuan Chang,success
10.1214/15-AOS1377,Xianchao Xie,S. C. Kou,Lawrence Brown,,success
10.1214/15-AOS1380,Hongcheng Liu,Tao Yao,Runze Li,,success
10.1214/13-AOS1171,Tommaso Cai,Weidong Liu,Harrison H. Zhou,,success
10.1214/15-AOS1373,Yen‐Chi Chen,Christopher R. Genovese; Ryan J. Tibshirani,Larry Wasserman,,success
10.1214/15-AOS1376,,,,,not_found
10.1214/15-AOS1378,Monika Bhattacharjee,,Arup Bose,,success
10.1214/15-AOS1381,Vianney Perchet,Philippe Rigollet; Sylvain Chassang,Erik Snowberg,,success
10.1214/15-AOS1382,Tommaso Cai,Donggyu Kim; Yazhen Wang; Ming Yuan,Harrison H. Zhou,,success
10.1214/15-AOS1384,Alexander R. Luedtke,,Mark J. van der Laan,,success
10.1214/15-AOS1386,Jonathan Taylor,Joshua R. Loftus,Ryan J. Tibshirani,,success
10.1214/15-AOS1387,Victor M. Panaretos,,Yoav Zemel,,success
10.1214/15-AOS1388,Dimitris Bertsimas,Angela King,Rahul Mazumder,,success
10.1214/15-AOS1389,Sumit Mukherjee,,,Sumit Mukherjee,success
10.1214/15-AOS1390,Yun Yang,,David B. Dunson,David B. Dunson,success
10.1214/15-AOS1361,Holger Dette,Andrey Pepelyshev,Anatoly Zhigljavsky,,success
10.1214/15-AOS1362,Rui Song,Moulinath Banerjee,Michael R. Kosorok,,success
10.1214/15-AOS1364,Jianqing Fan,Yuan Liao,Weichen Wang,Jianqing Fan,success
10.1214/15-AOS1323,Aloïs Kneip,Dominik Poß,Pascal Sarda,,success
10.1214/15-AOS1343,Ting Yan,Chenlei Leng,Ji Zhu,,success
10.1214/15-AOS1349,Adam D. Bull,,,Adam D. Bull,success
10.1214/15-AOS1358,Vishesh Karwa,,Aleksandra Slavkovic,Vishesh Karwa,success
10.1214/15-AOS1363,Alexander Petersen,,Hans‐Georg Müller,,success
10.1214/15-AOS1366,Tim Patschkowski,,Angelika Rohde,,success
10.1214/15-AOS1367,Ben Sherwood,,Lan Wang,Ben Sherwood,success
10.1214/15-AOS1368,Chao Gao,,Harrison H. Zhou,Chao Gao,success
10.1214/14-AOS1275,Noureddine El Karoui,,Hau‐Tieng Wu,,success
10.1214/15-AOS1360,Can M. Le,Elizaveta Levina,Roman Vershynin,,success
10.1214/15-AOS1370,Jing Lei,,,Jing Lei,success
10.1214/15-AOS1372,Chaohua Dong,Jiti Gao,Dag Tjøstheim,,success
10.1214/15-AOS1357,Jianqing Fan,Philippe Rigollet,Weichen Wang,Jianqing Fan,success
10.1214/15-AOS1314,Rui Tuo,,Changbao Wu,Rui Tuo,success
10.1214/15-AOS1336,Ismael Castillo,,Judith Rousseau,Ismael Castillo,success
10.1214/15-AOS1338,Sharmodeep Bhattacharyya,,Peter J. Bickel,Sharmodeep Bhattacharyya,success
10.1214/15-AOS1345,Christophe Giraud,François Roueff,Andres Sanchez-Perez,,success
10.1214/15-AOS1347,Moritz Jirak,,,Moritz Jirak,success
10.1214/15-AOS1348,Guillaume Chauvet,,,Guillaume Chauvet,success
10.1214/15-AOS1350,Christian Brownlees,Emilien Joly,Gábor Lugosi,Christian Brownlees,success
10.1214/15-AOS1351,Mélisande Albert,Yann Bouret; Magalie Fromont,Patricia Reynaud-Bouret,,success
10.1214/15-AOS1352,Ching-Shui Cheng,,Ming-Hung Kao,Ching-Shui Cheng,success
10.1214/15-AOS1353,Zhigang Bao,Liang-Ching Lin; Guangming Pan,Wang Zhou,,success
10.1214/15-AOS1354,Chao Gao,Yu Lu,Harrison H. Zhou,Chao Gao,success
10.1214/15-AOS1355,Vladimir Spokoiny,,Mayya Zhilova,,success
10.1214/15-AOS1356,Degui Li,Yuan Ke,Wenyang Zhang,,success
10.1214/15-AOS1359,John H. J. Einmahl,Jun Li,Regina Y. Liu,John H. J. Einmahl,success
10.1214/15-AOS1365,Wei‐Liem Loh,,,Wei‐Liem Loh,success
10.1214/15-AOS1330,Fei Jiang,Yanyuan Ma,Yuanjia Wang,Fei Jiang,success
10.1214/15-AOS1328,Hock Peng Chan,,Guenther Walther,Hock Peng Chan,success
10.1214/15-AOS1329,Yen-Chi Chen,Christopher R. Genovese,Larry Wasserman,Yen-Chi Chen,success
10.1214/15-AOS1333,Holger Dette,Viatcheslav B. Melas,Roman Guchenko,,success
10.1214/15-AOS1334,Ismael Castillo,Johannes Schmidt-Hieber,Aad van der Vaart,Ismael Castillo,success
10.1214/15-AOS1335,Piet Groeneboom,,Geurt Jongbloed,,success
10.1214/15-AOS1337,Rina Foygel Barber,,Emmanuel J. Candès,Rina Foygel Barber,success
10.1214/15-AOS1342,Timothy Armstrong,,,Timothy Armstrong,success
10.1214/15-AOS1344,Shujie Ma,Raymond J. Carroll; Hua Liang,Shizhong Xu,Shujie Ma,success
10.1214/15-AOS1331,Ingo Steinwart,,,Ingo Steinwart,success
10.1214/15-AOS1332,Chao Gao,Zongming Ma; Zhao Ren,Harrison H. Zhou,Chao Gao,success
10.1214/15-AOS1339,Guillaume Sagnol,,Radoslav Harman,Radoslav Harman,success
10.1214/15-AOS1340,Qi Zheng,Limin Peng,Xuming He,,success
10.1214/15-AOS1341,Marc Hoffmann,Judith Rousseau,Johannes Schmidt-Hieber,Marc Hoffmann,success
10.1214/15-AOS1346,Yingying Fan,Gareth James,Peter Radchenko,,success
10.1214/15-AOS1326,Ci‐Ren Jiang,,Jane-Ling Wang,Ci‐Ren Jiang,success
10.1214/14-AOS1307,Jianqing Fan,Zheng Tracy Ke; Han Liu,Lucy Xia,Jianqing Fan,success
10.1214/14-AOS1270,Botond Szabó,Aad van der Vaart,J. H. van Zanten,,success
10.1214/14-AOS1270A,Richard Nickl,,,Richard Nickl,success
10.1214/15-AOS1270B,Ismaël Castillo,,,Ismaël Castillo,success
10.1214/15-AOS1270C,Judith Rousseau,,,Judith Rousseau,success
10.1214/15-AOS1270D,Mark G. Low,,Zongming Ma,Mark G. Low,success
10.1214/15-AOS1270E,Subhashis Ghosal,,,Subhashis Ghosal,success
10.1214/15-AOS1270REJ,Botond Szabó,Aad van der Vaart,J. H. van Zanten,,success
10.1214/14-AOS1303,Qing Mai,,Hui Zou,,success
10.1214/15-AOS1315,Sumanta Basu,,George Michailidis,Sumanta Basu,success
10.1214/15-AOS1317,Kang Li,Wei Zheng,Mingyao Ai,,success
10.1214/15-AOS1318,Michael Chichignoud,,Sébastien Loustau,Michael Chichignoud,success
10.1214/15-AOS1319,Simon Byrne,,A. P. Dawid,Simon Byrne,success
10.1214/15-AOS1320,Jia Chen,Degui Li; Hua Liang,Suojin Wang,,success
10.1214/15-AOS1321,Erwan Scornet,Gérard Biau,Jean‐Philippe Vert,,success
10.1214/15-AOS1322,Zuofeng Shang,,Guang Cheng,,success
10.1214/15-AOS1324,Sabyasachi Chatterjee,Adityanand Guntuboyina,Bodhisattva Sen,,success
10.1214/17-AOS1588,Jianqing Fan,Han Liu,Weichen Wang,,success
10.1214/17-AOS1589,Piet Groeneboom,,Kim Hendrickx,,success
10.1214/17-AOS1591,Arnaud Gloter,Dasha Loukianova,,,success
10.1214/17-AOS1592,Vu Dinh,Lam Si Tung Ho; Marc A. Suchard,F. A. Matsen,,success
10.1214/17-AOS1593,Ela Sienkiewicz,,Haonan Wang,,success
10.1214/17-AOS1595,Yudong Chen,Xiaodong Li,Jiaming Xu,Yudong Chen,success
10.1214/17-AOS1597,Hani Doss,,Yeonhee Park,,success
10.1214/17-AOS1598,Bradley Efron,,,Bradley Efron,success
10.1214/17-AOS1599,Lawrence D. Brown,Gourab Mukherjee,Asaf Weinstein,,success
10.1214/17-AOS1600,Masayo Y. Hirose,,Partha Lahiri,,success
10.1214/17-AOS1601,,,,,not_found
10.1214/17-AOS1603,Ming-Chung Chang,,Ching‐Shui Cheng,,success
10.1214/17-AOS1604,Tommaso Cai,,Zijian Guo,,success
10.1214/17-AOS1587,Heather Battey,Jianqing Fan; Han Liu; Junwei Lu,Ziwei Zhu,,success
10.1214/17-AOS1570,Chengchun Shi,Ailin Fan; Rui Song,Wenbin Lu,,success
10.1214/17-AOS1573,Hengjian Cui,Wenwen Guo,Wei Zhong,,success
10.1214/17-AOS1575,Jianqing Fan,Qi-Man Shao,Wen‐Xin Zhou,,success
10.1214/17-AOS1576,Tommaso Cai,Adityanand Guntuboyina,Yuting Wei,,success
10.1214/17-AOS1577,Zhidong Bai,Kwok Pui Choi,Yasunori Fujikoshi,Yasunori Fujikoshi,success
